,date,price,market_cap,volume,returns,log_returns,symbol
BTC,2024-09-29 00:00:00,65934.10709441357,1303217687717.8518,15342911002.84781,,,BTC
BTC,2024-09-30 00:00:00,65663.68986662335,1297825615076.3352,12948707838.938381,-0.004101325394503363,-0.004109758896421214,BTC
BTC,2024-10-01 00:00:00,63243.27532464382,1249577803402.1707,35124446789.27111,-0.0368607756721544,-0.0375573040845952,BTC
BTC,2024-10-02 00:00:00,60872.668543725544,1202927109017.5488,54251488433.95029,-0.03748393435901842,-0.03820452138445476,BTC
BTC,2024-10-03 00:00:00,60655.55979196848,1198652098493.4897,41870731291.86736,-0.003566604799017714,-0.0035729802976841754,BTC
BTC,2024-10-04 00:00:00,60727.86395169296,1200491237695.5154,37711138441.76231,0.001192045048672652,0.0011913351270899503,BTC
BTC,2024-10-05 00:00:00,62103.01047283253,1226663492771.043,30349059838.684578,0.02264440788224431,0.022391829165457497,BTC
BTC,2024-10-06 00:00:00,62091.932585194016,1226761949791.163,11095453162.990673,-0.0001783792372410664,-0.0001783951487094176,BTC
BTC,2024-10-07 00:00:00,62811.79972811266,1241834324867.657,14592422860.685436,0.011593569614392951,0.011526879144984828,BTC
BTC,2024-10-08 00:00:00,62287.39010510681,1231091696620.0955,33878876147.30253,-0.008348902997140861,-0.008383950295089286,BTC
BTC,2024-10-09 00:00:00,62185.230423727575,1229717180592.4397,28626429276.55382,-0.0016401342423698617,-0.0016414807350235694,BTC
BTC,2024-10-10 00:00:00,60597.15045618275,1197736450280.4102,28530748117.898792,-0.025537896325601883,-0.02586964875948466,BTC
BTC,2024-10-11 00:00:00,60195.18073772453,1189691671375.1472,29481971885.649742,-0.006633475591379279,-0.0066555748748443975,BTC
BTC,2024-10-12 00:00:00,62392.34048293159,1233357176570.333,32008659336.482643,0.03650059221153068,0.03585022425053418,BTC
BTC,2024-10-13 00:00:00,63207.77062127557,1249002272717.2275,17665963646.417107,0.013069394929447364,0.012984727292832468,BTC
BTC,2024-10-14 00:00:00,62829.533686088886,1241241970951.0295,16784552979.060463,-0.005984025879554933,-0.006002001910985509,BTC
BTC,2024-10-15 00:00:00,66049.99492708022,1306085613997.8015,46553796134.14602,0.05125712466817767,0.04998670961206919,BTC
BTC,2024-10-16 00:00:00,66962.21994496793,1323774576161.621,51797932876.82809,0.013811129264957867,0.01371662476756493,BTC
BTC,2024-10-17 00:00:00,67647.54414766871,1337304399194.887,40640495380.19594,0.010234490482304848,0.010182472700525535,BTC
BTC,2024-10-18 00:00:00,67328.10527002988,1330387728623.8188,34512072357.92087,-0.004722106052239328,-0.00473329041808819,BTC
BTC,2024-10-19 00:00:00,68465.61920668735,1353541799303.4875,39984956633.228035,0.016895083146856615,0.01675394866397599,BTC
BTC,2024-10-20 00:00:00,68388.87128965274,1351942347611.1997,14110889435.452631,-0.0011209701734079536,-0.001121598930395261,BTC
BTC,2024-10-21 00:00:00,68962.82918045693,1362381684459.9053,17253863432.786995,0.008392562707655538,0.008357540964937035,BTC
BTC,2024-10-22 00:00:00,67394.85775735618,1332326858574.4448,40485496091.95008,-0.022736471831771854,-0.02299893130616355,BTC
BTC,2024-10-23 00:00:00,67351.04793512498,1331426858508.4004,31398389967.38113,-0.0006500469574240997,-0.0006502583295536982,BTC
BTC,2024-10-24 00:00:00,66683.96806542306,1318285437546.2786,32676918488.059,-0.009904521015685952,-0.009953897085369893,BTC
BTC,2024-10-25 00:00:00,68214.05205157402,1347888109010.5889,35892606570.03549,0.02294530500419234,0.022686020246125017,BTC
BTC,2024-10-26 00:00:00,66585.66535501445,1313975091942.221,48426924850.053406,-0.023871719207186337,-0.02416126596736016,BTC
BTC,2024-10-27 00:00:00,67018.1650170265,1325192118637.2595,21169467789.89267,0.006495386953124127,0.00647438283149224,BTC
BTC,2024-10-28 00:00:00,67938.55412885673,1343350549900.1233,16533385730.434193,0.013733427520678854,0.013639978615393324,BTC
BTC,2024-10-29 00:00:00,69845.304531169,1380874923096.4146,41990540384.96554,0.02806580779885004,0.027679180352608267,BTC
BTC,2024-10-30 00:00:00,72781.11308158132,1439310420089.3665,65487782004.97014,0.04203301238528079,0.041173624581028086,BTC
BTC,2024-10-31 00:00:00,72342.62171127986,1431085552900.1965,43498144313.67304,-0.00602479615569973,-0.006043018467399258,BTC
BTC,2024-11-01 00:00:00,70264.99735573279,1390195908292.9321,45907074188.570145,-0.028719229499849952,-0.029139696463487037,BTC
BTC,2024-11-02 00:00:00,69507.92256395647,1374687306836.925,54863092261.31101,-0.010774565150034165,-0.010833031119980975,BTC
BTC,2024-11-03 00:00:00,69299.16036699413,1370516856365.7996,14709379754.965973,-0.003003430245958727,-0.0030079495938792004,BTC
BTC,2024-11-04 00:00:00,68803.50626277467,1362302032218.0198,37659435506.757034,-0.00715238253385142,-0.007178083443621518,BTC
BTC,2024-11-05 00:00:00,67793.29782704762,1340192510479.9568,46183110993.79166,-0.014682513880453385,-0.01479136881073105,BTC
BTC,2024-11-06 00:00:00,69335.42553133758,1370963795352.6948,40025021601.49395,0.02274749501380202,0.022492628558961537,BTC
BTC,2024-11-07 00:00:00,75620.88606963192,1496392703840.9058,128492534668.23851,0.09065294530360246,0.08677654928139718,BTC
BTC,2024-11-08 00:00:00,75987.24178320667,1502620808927.6982,66590396087.4524,0.004844636615834119,0.0048329391287007676,BTC
BTC,2024-11-09 00:00:00,76550.0213845611,1514048743889.1255,50687468387.720375,0.007406238049277425,0.007378946537040439,BTC
BTC,2024-11-10 00:00:00,76630.22631415377,1519470275068.1016,31430906055.796104,0.0010477453584205598,0.0010471968563460826,BTC
BTC,2024-11-11 00:00:00,80466.71654833542,1590846468754.067,93473126207.67865,0.05006497329726711,0.04885204158571577,BTC
BTC,2024-11-12 00:00:00,88637.42000322911,1756619702929.0437,133959805308.72511,0.10154140501042619,0.09671047621372927,BTC
BTC,2024-11-13 00:00:00,88264.59974582895,1741113172482.1243,152356811694.44943,-0.004206127134415483,-0.004214997769902881,BTC
BTC,2024-11-14 00:00:00,90488.10007497849,1790737763695.3328,136046309843.60645,0.025191303597959402,0.024879232832276624,BTC
BTC,2024-11-15 00:00:00,87407.51273710128,1726797438787.217,99649391847.08359,-0.03404411558342624,-0.034637114118272146,BTC
BTC,2024-11-16 00:00:00,90947.97509443703,1799276211921.9302,84382485697.84985,0.04050524087082219,0.03970640371615891,BTC
BTC,2024-11-17 00:00:00,90606.45489380708,1790415769635.4927,49255174407.368774,-0.003755116046017859,-0.0037621841943036027,BTC
BTC,2024-11-18 00:00:00,89841.47194135105,1776887033229.9082,48556083101.64749,-0.008442918921754639,-0.00847876225252602,BTC
BTC,2024-11-19 00:00:00,90534.62459650292,1790917617392.4407,77391724184.19348,0.007715286049680525,0.007685675435650454,BTC
BTC,2024-11-20 00:00:00,92251.65240738312,1825195454018.501,80493234958.49161,0.01896542696822001,0.018787825272681042,BTC
BTC,2024-11-21 00:00:00,94217.02229634205,1862618759426.145,80747272080.24826,0.021304441033531463,0.021080674004810337,BTC
BTC,2024-11-22 00:00:00,98509.11859102432,1948284556982.0486,118163852022.3175,0.04555542289568737,0.04454824938127192,BTC
BTC,2024-11-23 00:00:00,98927.49494553401,1958091000957.8345,85746174563.98602,0.0042470825086420305,0.004238089108540717,BTC
BTC,2024-11-24 00:00:00,97679.46381643033,1931255637661.502,47414200206.70341,-0.012615614393054253,-0.012695866927392555,BTC
BTC,2024-11-25 00:00:00,98015.9355289458,1939446484727.4285,50665680246.86775,0.0034446515098383035,0.003438732287037885,BTC
BTC,2024-11-26 00:00:00,93004.70093103287,1838788677873.8657,89476321216.0935,-0.05112673333034734,-0.052480033368356396,BTC
BTC,2024-11-27 00:00:00,91931.83077291827,1819990514406.0881,97389239315.52954,-0.011535655159089053,-0.011602706985673507,BTC
BTC,2024-11-28 00:00:00,95981.18057210564,1899088665519.225,81469353259.75,0.04404730945900237,0.04310480400748444,BTC
BTC,2024-11-29 00:00:00,95661.59595817851,1892297852304.72,49067932024.40325,-0.003329659127156104,-0.003335214777817533,BTC
BTC,2024-11-30 00:00:00,97453.2473451042,1926826079390.2441,74670031635.5065,0.01872905599138197,0.018555826825539037,BTC
BTC,2024-12-01 00:00:00,96513.14234698225,1910022814269.8855,43580019720.720634,-0.009646728290057194,-0.00969355939473852,BTC
BTC,2024-12-02 00:00:00,97311.70719084324,1925808416477.5068,49147687432.565895,0.008274156497671603,0.00824011332159629,BTC
BTC,2024-12-03 00:00:00,95833.1362300365,1896576914275.523,101019861361.49252,-0.01519417348117258,-0.015310787680545472,BTC
BTC,2024-12-04 00:00:00,96031.63097759831,1900922167493.3643,87935752287.975,0.002071253799785344,0.002069111710996831,BTC
BTC,2024-12-05 00:00:00,98881.4694561823,1957276192604.2603,98230784298.0459,0.029676039546269628,0.029244228055913493,BTC
BTC,2024-12-06 00:00:00,97201.50036407741,1920742551503.6094,190460293531.53802,-0.016989726197883193,-0.017135707412357096,BTC
BTC,2024-12-07 00:00:00,99973.85150659826,1978389972043.7947,115812632020.44765,0.02852169083951117,0.02812251966924803,BTC
BTC,2024-12-08 00:00:00,99781.82999198174,1974739091620.7542,61061136199.7846,-0.0019207173848239112,-0.0019225643278093524,BTC
BTC,2024-12-09 00:00:00,101235.3717025316,2003238967638.8286,62677764785.05408,0.014567198363335976,0.014462116003687587,BTC
