date,price,market_cap,volume,returns,log_returns,symbol
2024-09-29 00:00:00,2680.218702062471,322761939149.4107,9607072594.439383,,,ETH
2024-09-30 00:00:00,2659.611211611689,320146112155.9396,9570811494.068226,-0.007688734667407604,-0.007718445377625361,ETH
2024-10-01 00:00:00,2597.3411516834435,312577514239.3695,17539259209.42195,-0.02341321906614724,-0.02369166325014689,ETH
2024-10-02 00:00:00,2451.631522589772,295243912099.71765,26538568534.282005,-0.05609953432541237,-0.0577345572997469,ETH
2024-10-03 00:00:00,2365.231040243019,284621591999.18945,20613586399.40693,-0.035242034355751906,-0.0358780219058307,ETH
2024-10-04 00:00:00,2348.0048369247393,282601960212.3656,18771995105.191242,-0.007283095403867956,-0.007309746624296806,ETH
2024-10-05 00:00:00,2416.9184055552637,290928251441.44226,15230883994.399237,0.029349840999809418,0.028927380606572368,ETH
2024-10-06 00:00:00,2415.4038137445546,290706276902.6144,7362867897.959902,-0.0006266623677604333,-0.0006268588026918901,ETH
2024-10-07 00:00:00,2438.030912544012,293516242471.9333,7641011283.520121,0.009367832687313449,0.009324226660455038,ETH
2024-10-08 00:00:00,2422.7506412955013,291612805733.03143,16943828822.371426,-0.00626746411207979,-0.0062871871172817334,ETH
2024-10-09 00:00:00,2441.4651696200294,294190554781.40424,13601054198.545612,0.007724496283497473,0.007694815112159518,ETH
2024-10-10 00:00:00,2367.615096789395,285084590935.4484,14384326799.317202,-0.03024825983576407,-0.030715178217435992,ETH
2024-10-11 00:00:00,2381.7817088014776,286552629874.8065,14686776834.298496,0.0059834945432191144,0.005965664528258197,ETH
2024-10-12 00:00:00,2435.7137843692162,293162664953.97815,13097241431.234644,0.02264358457722704,0.02239102409055332,ETH
2024-10-13 00:00:00,2477.6130275578225,298282533565.2097,8538997411.470292,0.01720203886741034,0.0170557589556889,ETH
2024-10-14 00:00:00,2466.8607267086663,296977636559.92773,7516544091.44527,-0.0043397821732293895,-0.004349226361603045,ETH
2024-10-15 00:00:00,2628.504376157751,316451494816.54065,21502937840.286705,0.06552605410551604,0.06346862472638708,ETH
2024-10-16 00:00:00,2602.0760435960988,313216116600.22363,21986428173.14599,-0.010054513434093693,-0.010105401444425378,ETH
2024-10-17 00:00:00,2611.700159182395,314435102932.4304,16135687550.25065,0.003698629642274298,0.0036918065305923814,ETH
2024-10-18 00:00:00,2603.1202923346113,313194633306.5954,14330391810.475258,-0.0032851653424371685,-0.003290573345471689,ETH
2024-10-19 00:00:00,2643.156520987104,318245706033.605,16301885114.203026,0.015380091642475113,0.015263016920271308,ETH
2024-10-20 00:00:00,2649.979289580214,318975355966.1185,7337169826.464913,0.0025812957117505864,0.0025779698900316303,ETH
2024-10-21 00:00:00,2742.9591411600395,330127637903.2564,12697856633.571321,0.035087010659073714,0.03448549145342989,ETH
2024-10-22 00:00:00,2665.731938974013,320871813296.62164,17340865615.868176,-0.028154703811361204,-0.02855864748879692,ETH
2024-10-23 00:00:00,2619.5653130506435,315286963217.6233,15418370745.51069,-0.01731855527121684,-0.01747027572060303,ETH
2024-10-24 00:00:00,2524.1038563091197,303758669310.65466,19004341635.326817,-0.03644171659547324,-0.03712230161886566,ETH
2024-10-25 00:00:00,2536.234041319884,305016120148.3843,16708110976.636312,0.004805739264826414,0.004794228563440861,ETH
2024-10-26 00:00:00,2422.09328922875,290598017399.4684,23734197478.807434,-0.045004029687943814,-0.04604815807883676,ETH
2024-10-27 00:00:00,2479.3736032443317,298518432454.89374,13434262241.34632,0.023649094884293564,0.023373787111784363,ETH
2024-10-28 00:00:00,2505.502947138879,301656245036.7335,8656317174.654642,0.010538687618661502,0.010483542748318142,ETH
2024-10-29 00:00:00,2564.8138556782997,308760527470.31,19560694034.693996,0.02367225654519789,0.023396413418972674,ETH
2024-10-30 00:00:00,2638.637351278122,317633905084.8851,22541317733.245987,0.028783178723236658,0.02837672398189244,ETH
2024-10-31 00:00:00,2657.6141818494384,320125387602.99,22790792400.863556,0.00719190553492477,0.007166167114162591,ETH
2024-11-01 00:00:00,2514.750787241073,302903644448.69275,20097565241.562813,-0.05375625837041054,-0.05525508811804168,ETH
2024-11-02 00:00:00,2513.8372870612066,302633410028.4328,20396109310.40712,-0.00036325674277593034,-0.00036332273648877444,ETH
2024-11-03 00:00:00,2491.352150058657,299972542553.578,8253307127.229915,-0.008944547492505173,-0.008984790105126534,ETH
2024-11-04 00:00:00,2456.979687344711,296080479788.81036,14546539750.496363,-0.01379670983611736,-0.013892768994185617,ETH
2024-11-05 00:00:00,2395.9472139132804,288417039274.4664,17316680977.698635,-0.02484044688924103,-0.025154177156380984,ETH
2024-11-06 00:00:00,2422.368479855642,291680535424.015,18024855703.904736,0.011027482487482532,0.010967123138190569,ETH
2024-11-07 00:00:00,2720.6217450068793,327447580506.6538,42388106411.06861,0.1231246474809693,0.11611466468226538,ETH
2024-11-08 00:00:00,2894.9718733838376,348640981227.00085,36844374455.9351,0.06408466325645623,0.06211495848362215,ETH
2024-11-09 00:00:00,2960.9593369382137,356482981903.24994,33688997426.40259,0.022793818537948596,0.022537920750175272,ETH
2024-11-10 00:00:00,3130.035524073996,376942816358.42664,30583711140.36284,0.05710182677166231,0.05553103788829327,ETH
2024-11-11 00:00:00,3191.9044555518153,384143201744.36383,47726595161.32535,0.01976620744460167,0.019573392636277182,ETH
2024-11-12 00:00:00,3372.7914863430115,407462829811.2162,62390436438.24982,0.056670565585561716,0.055122989042879454,ETH
2024-11-13 00:00:00,3260.934386131155,392233485413.7434,60074013245.45247,-0.03316454653801881,-0.03372695988807882,ETH
