date,price,market_cap,volume,returns,log_returns,symbol
2024-09-29 00:00:00,156.9590627676465,73518555009.73824,1727901443.7016873,,,SOL
2024-09-30 00:00:00,158.623421883811,74369588837.65268,2258758247.1894245,0.01060377837900539,0.010547952616955741,SOL
2024-10-01 00:00:00,152.54403421201002,71395922727.94426,2919586309.5452104,-0.03832591429186316,-0.03907967396331315,SOL
2024-10-02 00:00:00,145.20896405799175,68058487039.17453,4888868006.422661,-0.048084936208149465,-0.04927946687703659,SOL
2024-10-03 00:00:00,140.44843275006326,65807677885.54672,3403092048.7701364,-0.032784004340305595,-0.03333344170861485,SOL
2024-10-04 00:00:00,136.65393647537826,64050560287.44469,3660493468.511928,-0.027017006885634243,-0.027388675762489715,SOL
2024-10-05 00:00:00,143.16476802180077,67069277149.62741,3107174327.531866,0.04764466882075946,0.046544471937469085,SOL
2024-10-06 00:00:00,142.74066530825795,66856779428.43124,1404635947.7139452,-0.00296233996256845,-0.002966736376189963,SOL
2024-10-07 00:00:00,146.3485360445286,68620543171.31388,1447038882.2257159,0.025275703517839254,0.02496155546378898,SOL
2024-10-08 00:00:00,144.21265658625913,67824969530.69777,3411951971.0080686,-0.014594470952682403,-0.014702017920573508,SOL
2024-10-09 00:00:00,143.4338504886754,67328950381.83993,2021753886.7147253,-0.005400400464281696,-0.005415035340109698,SOL
2024-10-10 00:00:00,139.32635039743118,65433504789.60537,2070835887.6785858,-0.028636894828173887,-0.029054930879062166,SOL
2024-10-11 00:00:00,138.76215517070165,65104986869.39701,2066229153.7766125,-0.004049450984111469,-0.004057672212561369,SOL
2024-10-12 00:00:00,145.3183432059626,68238430125.58685,2171464128.91537,0.04724766653556012,0.046165452659722335,SOL
2024-10-13 00:00:00,146.58106227732287,68817502222.73967,1342624320.0323367,0.008689330221516522,0.008651795270667121,SOL
2024-10-14 00:00:00,147.49229086781492,69243494227.1722,1681570122.0230145,0.006216550598931114,0.006197307557306689,SOL
2024-10-15 00:00:00,157.3459292988939,73962264985.11276,3436470403.8856783,0.06680782007725394,0.06467084370497966,SOL
2024-10-16 00:00:00,154.62263332245095,72639268353.59418,4033304497.2522097,-0.017307698957179762,-0.017459228138370343,SOL
2024-10-17 00:00:00,154.2635899099486,72422733078.47534,2755639617.513603,-0.0023220624612801943,-0.0023247626290993084,SOL
2024-10-18 00:00:00,150.27306080375143,70573405283.51457,2717600021.312216,-0.025868249977370694,-0.02620871752366765,SOL
2024-10-19 00:00:00,155.0727514171131,72886877673.2116,2035291815.7684128,0.03193979405017777,0.03144032625891464,SOL
2024-10-20 00:00:00,159.59268197009004,74964939765.94617,1863265086.5618672,0.029147161649432984,0.02873046086292393,SOL
2024-10-21 00:00:00,166.573580832598,78229210681.92538,3153223457.134059,0.043741973481066454,0.04281230707533922,SOL
2024-10-22 00:00:00,166.37603410566598,78180519224.39232,4851472927.708045,-0.0011859427284003354,-0.0011866465149665917,SOL
2024-10-23 00:00:00,167.21134937308716,78495515410.02502,4409925954.917367,0.005020646584775967,0.005008085165465484,SOL
2024-10-24 00:00:00,171.31390405727439,80605199376.19403,4820717293.719623,0.024535144890395433,0.02423899254024977,SOL
2024-10-25 00:00:00,177.37306125678103,83303181938.57568,4352868535.962914,0.035368741567414874,0.03475763531332837,SOL
2024-10-26 00:00:00,164.34475959360174,77285778632.20319,6060843280.997682,-0.07345141122821552,-0.07628879127318257,SOL
2024-10-27 00:00:00,170.56035339294928,80185439054.50378,3465680935.5464296,0.03782045630610753,0.037122798979157615,SOL
2024-10-28 00:00:00,176.62596685410173,83135834565.19875,3262906486.5268407,0.03556285702092832,0.03494510210770657,SOL
2024-10-29 00:00:00,178.14045831001073,83861396528.21255,4573928546.776399,0.008574568524004178,0.008538015712417435,SOL
2024-10-30 00:00:00,179.3686111316114,84365189646.56198,4626744759.960895,0.006894294722557426,0.006870637742584206,SOL
2024-10-31 00:00:00,175.07910306095894,82365474416.0372,3787670946.354799,-0.023914485614793812,-0.024205079209249903,SOL
2024-11-01 00:00:00,168.4025224117599,79289455541.87051,3406710809.991008,-0.03813465189431775,-0.03888080889736904,SOL
2024-11-02 00:00:00,166.28821025376803,78250082081.93033,3797335906.931423,-0.01255510979118335,-0.012634591147626892,SOL
2024-11-03 00:00:00,165.99502794396105,78131615349.70734,1957197289.8022513,-0.001763097391929147,-0.0017646534774250285,SOL
2024-11-04 00:00:00,162.66791799614072,76639755911.6,3328092038.7950063,-0.020043431354724306,-0.020247026008480478,SOL
2024-11-05 00:00:00,157.6072230849172,74183140424.87337,3431380035.9552183,-0.03111059005097483,-0.03160480162405067,SOL
2024-11-06 00:00:00,166.51143603878933,78482680246.56433,4231343887.3657613,0.05649622383787967,0.05495798384882643,SOL
2024-11-07 00:00:00,187.1685353309579,88185066303.67917,12310513296.170946,0.12405814149219418,0.11694547743991095,SOL
2024-11-08 00:00:00,196.20253922973225,92394882481.30789,6091288676.382452,0.048266680522984995,0.04713801967571809,SOL
2024-11-09 00:00:00,199.83336694253737,94211532387.97975,7260188189.931466,0.0185055082725194,0.018336364890540323,SOL
2024-11-10 00:00:00,200.1685708629758,94841594020.38661,4159056437.727218,0.0016774171679487804,0.0016760118750599176,SOL
2024-11-11 00:00:00,210.18784246643875,99044422018.77545,11110901193.487217,0.05005416964445231,0.048841752976280246,SOL
2024-11-12 00:00:00,222.64379026281208,105178890848.891,12984443505.89922,0.05926102885023998,0.05757152241296629,SOL
2024-11-13 00:00:00,213.0672905358662,100554180075.78313,13290465438.161457,-0.04301265135507093,-0.043965107423326884,SOL
